_id	text	concreteness	valence	arousal	imageability	token_length_mean	token_length_median	token_length_std	sentence_length_mean	sentence_length_median	sentence_length_std	syllables_per_token_mean	syllables_per_token_median	syllables_per_token_std	n_tokens	n_unique_tokens	proportion_unique_tokens	n_characters	n_sentences	flesch_reading_ease	flesch_kincaid_grade	gunning_fog	automated_readability_index	coleman_liau_index	lix	rix	dependency_distance_mean	dependency_distance_std	prop_adjacent_dependency_relation_mean	prop_adjacent_dependency_relation_std	pos_prop_ADJ	pos_prop_NOUN	pos_prop_DET	pos_prop_CCONJ	pos_prop_PUNCT	pos_prop_ADV	pos_prop_ADP	pos_prop_VERB	pos_prop_PART	pos_prop_AUX	pos_prop_X	pos_prop_PRON	pos_prop_PROPN	pos_prop_NUM	pos_prop_SCONJ	pos_prop_SPACE
31ec458060b2b2b94547b51224bf9a64															0	0		0	0																											
321c2d046c9c219316625518db1b7c00															0	0		0	0																											
32b1e6238bfeb61be51eebdfbae3a16e															0	0		0	0																											
3391a0171472723f896669444ebc5182	Tisch sieht etwas niedrig aus.	5.0415	5.3335	3.3425	5.718	5.0	5.0	1.2649110640673518	5.0	5.0	0.0	1.4	1.0	0.4898979485566356	5	5	1.0	26	1	83.32000000000004	2.879999999999999	2.0	4.620000000000001	7.679999999999996	25.0	1.0	1.8333333333333333	0.0	0.3333333333333333	0.0		0.16666666666666666			0.16666666666666666	0.3333333333333333	0.16666666666666666	0.16666666666666666								
34173cc8c0dd8935c45651231c130d3c	Schlichte aber trotzdem elegante Kommode für das Schlaf- oder Kinderzimmer, alternativ als geräumiges Nachtkästchen. Herkunft Nordeuropa, Preis 350 €.	4.904727272727272	5.695818181818182	3.637	5.242909090909091	6.45	7.0	3.51390096616282	6.666666666666667	5.0	5.436502143433363	2.15	2.0	1.2757350822173072	20	20	1.0	133	3	18.17833333333334	12.380000000000003	16.666666666666668	12.282833333333336	17.686000000000003	61.66666666666667	3.6666666666666665	1.6726190476190474	1.2199041354849334	0.24107142857142858	0.18137677363324511	0.08333333333333333	0.25	0.041666666666666664	0.041666666666666664	0.16666666666666666	0.125	0.08333333333333333				0.041666666666666664		0.08333333333333333	0.041666666666666664		0.041666666666666664
34173cc8c0dd8935c45651231c70b95a	Wilder und farbig verspielter Look, Zweck: Kleiderschrank, Herkunft: Europa, Preis: 700 €.	4.202285714285714	5.860571428571428	4.264428571428572	4.553285714285715	5.615384615384615	5.0	3.5634568682770675	13.0	13.0	0.0	1.8461538461538463	1.0	1.0262818510866412	13	13	1.0	80	1	37.455384615384645	11.264615384615386	17.50769230769231	11.518461538461537	14.94153846153846	36.07692307692308	3.0	4.05	0.0	0.25	0.0	0.05	0.3		0.05	0.35	0.05							0.1	0.05		0.05
35403ea166f98b24ad55f418bd762ce8															0	0		0	0																											
35426a28b9ca82ffd4461cd7564775cf															0	0		0	0																											
368196645eba16fdc3a1d9194c108263	Tasse steht in einer Kaffeeküche eines hippen Techunternehmens.	5.3172	6.018800000000001	3.2488	5.9332	6.875	5.0	4.166458328124739	8.0	8.0	0.0	2.375	2.0	1.3169567191065923	8	8	1.0	56	1	-2.2099999999999795	15.555000000000003	13.200000000000001	14.951250000000002	20.924999999999994	33.0	2.0	2.0	0.0	0.4444444444444444	0.0	0.1111111111111111	0.3333333333333333	0.2222222222222222		0.1111111111111111		0.1111111111111111	0.1111111111111111								
387219ac7bac303dc28bb5ef03a37e6c															0	0		0	0																											
387219ac7bac303dc28bb5ef03b85097	Aus der mit-kentern Ära anmutender Sessel im Vintage-Look. Stilvolles Design, das aufgrund fehlender Armlehnen unbequem wirkt.	3.9351	4.6095	3.7738	4.3865	6.75	7.0	3.191786333700926	8.0	8.0	0.0	2.4375	2.0	1.4986973510352248	16	16	1.0	111	2	-7.497499999999974	16.292500000000004	20.700000000000003	14.362500000000004	20.189999999999994	58.0	4.0	2.5555555555555554	0.4444444444444444	0.4222222222222222	0.0222222222222222	0.21052631578947367	0.2631578947368421	0.05263157894736842		0.15789473684210525	0.05263157894736842	0.15789473684210525	0.05263157894736842				0.05263157894736842				
38c01c6d23183bb506d1312d63fcd2b9	Blumenvase, griechischer Style, für draußen. Ein Must-have jeden Haushaltes.	4.597666666666666	5.628833333333334	4.019833333333334	4.724	7.111111111111111	7.0	3.1071403231354586	4.5	4.5	0.5	2.4444444444444446	2.0	1.3425606637327303	9	9	1.0	68	2	-4.532499999999999	15.009444444444448	19.57777777777778	14.313333333333333	19.435555555555556	60.05555555555556	2.5	2.075	0.675	0.3875	0.012500000000000011	0.07692307692307693	0.23076923076923078	0.15384615384615385		0.3076923076923077	0.07692307692307693	0.07692307692307693				0.07692307692307693					
3a087f5a89c686b5c5155f464965c4a2	Ein roter Klappstuhl welcher zwar leicht aber dafür ziemlich unbequem aussieht.	4.473999999999999	4.945571428571429	3.6941428571428574	4.704428571428571	6.181818181818182	6.0	2.0810042076835633	11.0	11.0	0.0	1.7272727272727273	2.0	0.616575453011388	11	11	1.0	69	1	49.54272727272729	9.081818181818182	8.036363636363637	13.186363636363637	17.858181818181816	56.45454545454545	5.0	3.0	0.0	0.4166666666666667	0.0	0.08333333333333333	0.08333333333333333	0.16666666666666666	0.08333333333333333	0.08333333333333333	0.4166666666666667		0.08333333333333333								
3bf99c668fc25ff99283cc25370d61e7															0	0		0	0																											
3bf99c668fc25ff99283cc253763cfd8															0	0		0	0																											
3bf99c668fc25ff99283cc25376b4f2c	Schlichtes Regal für Keller oder Wohnzimmer.	5.94925	5.83	3.1825	6.1905	6.333333333333333	5.5	2.748737083745107	6.0	6.0	0.0	1.8333333333333333	2.0	0.6871842709362768	6	6	1.0	39	1	45.64500000000001	8.383333333333333	9.066666666666666	11.399999999999999	16.506666666666664	39.33333333333333	2.0	1.4285714285714286	0.0	0.7142857142857143	0.0	0.14285714285714285	0.42857142857142855		0.14285714285714285	0.14285714285714285		0.14285714285714285									
3cb3aa2cc91305b24499ba6467673601															0	0		0	0																											
3e3255ff67037c8d10c7d5abe5018b11	Minimalistischer aber ausreichend gemütlicher Barhocker, schön, Herkunft: Europa, Preis: 130 €.	4.292571428571429	6.126285714285714	4.256142857142857	4.862857142857143	6.666666666666667	5.5	4.307615994440028	6.0	6.0	3.0	2.4166666666666665	1.5	1.6562172428626492	12	12	1.0	86	2	-3.7049999999999557	15.266666666666666	19.06666666666667	12.970000000000006	18.466666666666672	47.66666666666667	2.5	1.7142857142857142	0.7142857142857142	0.4285714285714286	0.07142857142857142	0.05555555555555555	0.2222222222222222			0.3333333333333333	0.16666666666666666							0.1111111111111111	0.05555555555555555		0.05555555555555555
41f8298aed788d44ae4ca71d61372f4f	Es könnte sich um einen wetterbeständigen Tisch für den Außenbereich handeln, keine Ausziehmöglichekeit, sehr einfach Ausführung.	4.0214	6.2994	3.3894999999999995	4.2261	6.9375	5.0	4.943034872424025	16.0	16.0	0.0	2.125	1.5	1.5360257159305635	16	16	1.0	114	1	10.820000000000022	15.725000000000005	16.400000000000002	19.245624999999997	23.142499999999995	53.5	6.0	6.368421052631579	0.0	0.3157894736842105	0.0	0.05263157894736842	0.21052631578947367	0.15789473684210525		0.15789473684210525	0.10526315789473684	0.10526315789473684	0.05263157894736842		0.05263157894736842		0.10526315789473684				
41f8298aed788d44ae4ca71d616d535c															0	0		0	0																											
41f8298aed788d44ae4ca71d61707262															0	0		0	0																											
41f8298aed788d44ae4ca71d619f7c1d	Alte Technik, oldschool.	3.9175000000000004	5.1505	4.1615	4.4035	6.666666666666667	7.0	2.0548046676563256	3.0	3.0	0.0	2.0	2.0	0.0	3	3	1.0	22	1	34.59000000000003	9.180000000000003	1.2000000000000002	11.470000000000006	13.533333333333335	69.66666666666666	2.0	1.4	0.0	0.4	0.0	0.2	0.2			0.4								0.2			
41f8298aed788d44ae4ca71d61f5a012	Ästhetischer Schreibtisch, könnte als Tresen in einem Empfangsbereich dienen, Herkunft Europa, Preis 600 €.	4.515	5.6569	3.8319	5.011699999999999	6.066666666666666	6.0	4.024370206076418	15.0	15.0	0.0	2.0	2.0	1.0954451150103321	15	15	1.0	95	1	22.410000000000025	13.860000000000003	14.0	14.643999999999998	17.89866666666666	41.66666666666667	4.0	3.0526315789473686	0.0	0.42105263157894735	0.0	0.05263157894736842	0.2631578947368421	0.05263157894736842		0.21052631578947367		0.10526315789473684	0.05263157894736842		0.05263157894736842			0.10526315789473684	0.05263157894736842		0.05263157894736842
4213aa2780bba96f489c0e0fc89ce6cd	Komische, ungemütlich aussehende Bank im 80er Jahre Stil geeignet für öffentliche Plätze.	4.140272727272728	5.402454545454545	4.164909090909091	4.543090909090908	6.333333333333333	5.5	3.0368111930481	12.0	12.0	0.0	2.25	2.0	1.2332207155790618	12	12	1.0	78	1	4.305000000000007	15.64	21.46666666666667	14.399999999999999	18.973333333333326	53.66666666666667	5.0	2.0714285714285716	0.0	0.5714285714285714	0.0	0.21428571428571427	0.35714285714285715			0.14285714285714285	0.14285714285714285	0.14285714285714285									
429e8999e840c681d8707c10fd4e94e1	Moderner unaufdringlicher Stil kann beidseitig genutzt werden. Für lange Pausen ungeeignet.	3.330875	5.618750000000001	4.1861250000000005	3.6229999999999998	7.181818181818182	6.0	3.5628941713209863	5.5	5.5	1.5	2.3636363636363638	2.0	1.2264306875665492	11	11	1.0	81	2	1.2888636363636294	14.445909090909094	16.745454545454546	15.146363636363638	21.047272727272723	50.95454545454545	2.5	1.6375	0.23750000000000004	0.3875	0.012500000000000011	0.15384615384615385	0.23076923076923078			0.15384615384615385	0.15384615384615385	0.07692307692307693	0.07692307692307693		0.15384615384615385						
462a08408a964cb109fbcfd0d235f627															0	0		0	0																											
462a08408a964cb109fbcfd0d2736f91															0	0		0	0																											
4696b49d9defb437ab35deb56e09aed1															0	0		0	0																											
4696b49d9defb437ab35deb56e0ff3b0															0	0		0	0																											
4696b49d9defb437ab35deb56e14d17d															0	0		0	0																											
4696b49d9defb437ab35deb56e17ae8c	Bei Opa im Arbeitszimmer gefunden und zum Teil nicht mehr in bester Verfassung, dürfte damals teuer gewesen sein.	4.086916666666666	5.654	4.255083333333332	4.774083333333334	5.222222222222222	4.5	2.7999118151898115	18.0	18.0	0.0	1.7222222222222223	1.0	0.9312808119022339	18	18	1.0	96	1	42.86500000000001	11.752222222222223	16.08888888888889	12.166666666666664	13.262222222222224	40.22222222222222	4.0	2.65	0.0	0.5	0.0	0.05	0.2		0.05	0.1	0.15	0.2	0.05	0.05	0.15						
4696b49d9defb437ab35deb56ebc9b6e															0	0		0	0																											
472097a1fd97aef56d6773b2e1ac6e73															0	0		0	0																											
472097a1fd97aef56d6773b2e1b22221															0	0		0	0																											
4752ca9823a6020f70bf376f5e4b8057	Einfaches Doppelbettgestell, furniert, vermutlich klappbar als Wandbett, puristische Form, Holzkorpus im Stil der 60er Jahre, Synthetikbettwäsche blau.	4.238875	5.713	3.5967499999999997	4.4445	7.588235294117647	8.0	4.703675953342072	17.0	17.0	0.0	2.2941176470588234	2.0	1.4858036400370693	17	17	1.0	135	1	-4.50235294117644	18.11058823529412	20.917647058823533	22.81058823529412	27.07764705882352	69.94117647058823	9.0	6.217391304347826	0.0	0.391304347826087	0.0	0.13043478260869565	0.2608695652173913	0.043478260869565216		0.2608695652173913	0.13043478260869565	0.08695652173913043	0.043478260869565216					0.043478260869565216			
